nodes_touched,conv,iters,game_name,algorithm_name
0,3.779585361480713,0,BigLeduc,DeepCFR
39755,3.779585361480713,1,BigLeduc,DeepCFR
82885,3.779585361480713,2,BigLeduc,DeepCFR
132537,3.779585361480713,3,BigLeduc,DeepCFR
171163,3.779585361480713,4,BigLeduc,DeepCFR
207488,3.779585361480713,5,BigLeduc,DeepCFR
270845,3.779585361480713,6,BigLeduc,DeepCFR
316604,3.779585361480713,7,BigLeduc,DeepCFR
387599,3.779585361480713,8,BigLeduc,DeepCFR
457116,3.779585361480713,9,BigLeduc,DeepCFR
512078,3.779585361480713,10,BigLeduc,DeepCFR
551417,3.779585361480713,11,BigLeduc,DeepCFR
595064,3.779585361480713,12,BigLeduc,DeepCFR
641962,3.779585361480713,13,BigLeduc,DeepCFR
685842,3.779585361480713,14,BigLeduc,DeepCFR
731523,0.6172770261764526,15,BigLeduc,DeepCFR
775717,0.6172770261764526,16,BigLeduc,DeepCFR
813699,0.6172770261764526,17,BigLeduc,DeepCFR
851902,0.6172770261764526,18,BigLeduc,DeepCFR
892170,0.6172770261764526,19,BigLeduc,DeepCFR
928496,0.6172770261764526,20,BigLeduc,DeepCFR
965154,0.6172770261764526,21,BigLeduc,DeepCFR
1002660,0.6172770261764526,22,BigLeduc,DeepCFR
1041701,0.6172770261764526,23,BigLeduc,DeepCFR
1082276,0.6172770261764526,24,BigLeduc,DeepCFR
1115210,0.6172770261764526,25,BigLeduc,DeepCFR
1160105,0.6172770261764526,26,BigLeduc,DeepCFR
1213748,0.6172770261764526,27,BigLeduc,DeepCFR
1262684,0.6172770261764526,28,BigLeduc,DeepCFR
1317293,0.6172770261764526,29,BigLeduc,DeepCFR
1349850,0.6503491997718811,30,BigLeduc,DeepCFR
1389379,0.6503491997718811,31,BigLeduc,DeepCFR
1429890,0.6503491997718811,32,BigLeduc,DeepCFR
1482324,0.6503491997718811,33,BigLeduc,DeepCFR
1524358,0.6503491997718811,34,BigLeduc,DeepCFR
1580622,0.6503491997718811,35,BigLeduc,DeepCFR
1638162,0.6503491997718811,36,BigLeduc,DeepCFR
1682978,0.6503491997718811,37,BigLeduc,DeepCFR
1727783,0.6503491997718811,38,BigLeduc,DeepCFR
1767867,0.6503491997718811,39,BigLeduc,DeepCFR
1811013,0.6503491997718811,40,BigLeduc,DeepCFR
1861730,0.6503491997718811,41,BigLeduc,DeepCFR
1905538,0.6503491997718811,42,BigLeduc,DeepCFR
1947830,0.6503491997718811,43,BigLeduc,DeepCFR
1982334,0.6503491997718811,44,BigLeduc,DeepCFR
2027629,0.4063866436481476,45,BigLeduc,DeepCFR
2065299,0.4063866436481476,46,BigLeduc,DeepCFR
2105197,0.4063866436481476,47,BigLeduc,DeepCFR
2144666,0.4063866436481476,48,BigLeduc,DeepCFR
2185772,0.4063866436481476,49,BigLeduc,DeepCFR
2233271,0.4063866436481476,50,BigLeduc,DeepCFR
2267697,0.4063866436481476,51,BigLeduc,DeepCFR
2302608,0.4063866436481476,52,BigLeduc,DeepCFR
2339283,0.4063866436481476,53,BigLeduc,DeepCFR
2381400,0.4063866436481476,54,BigLeduc,DeepCFR
2417692,0.4063866436481476,55,BigLeduc,DeepCFR
2454662,0.4063866436481476,56,BigLeduc,DeepCFR
2489039,0.4063866436481476,57,BigLeduc,DeepCFR
2531113,0.4063866436481476,58,BigLeduc,DeepCFR
2568510,0.4063866436481476,59,BigLeduc,DeepCFR
2609797,0.3694338947534561,60,BigLeduc,DeepCFR
2657128,0.3694338947534561,61,BigLeduc,DeepCFR
2692933,0.3694338947534561,62,BigLeduc,DeepCFR
2730800,0.3694338947534561,63,BigLeduc,DeepCFR
2774924,0.3694338947534561,64,BigLeduc,DeepCFR
2810102,0.3694338947534561,65,BigLeduc,DeepCFR
2842488,0.3694338947534561,66,BigLeduc,DeepCFR
2882654,0.3694338947534561,67,BigLeduc,DeepCFR
2919986,0.3694338947534561,68,BigLeduc,DeepCFR
2957166,0.3694338947534561,69,BigLeduc,DeepCFR
3000746,0.3694338947534561,70,BigLeduc,DeepCFR
3039874,0.3694338947534561,71,BigLeduc,DeepCFR
3080950,0.3694338947534561,72,BigLeduc,DeepCFR
3121662,0.3694338947534561,73,BigLeduc,DeepCFR
3165127,0.3694338947534561,74,BigLeduc,DeepCFR
3200578,0.37173932790756226,75,BigLeduc,DeepCFR
3249061,0.37173932790756226,76,BigLeduc,DeepCFR
3288383,0.37173932790756226,77,BigLeduc,DeepCFR
3325548,0.37173932790756226,78,BigLeduc,DeepCFR
3363517,0.37173932790756226,79,BigLeduc,DeepCFR
3400792,0.37173932790756226,80,BigLeduc,DeepCFR
3432042,0.37173932790756226,81,BigLeduc,DeepCFR
3462898,0.37173932790756226,82,BigLeduc,DeepCFR
3503605,0.37173932790756226,83,BigLeduc,DeepCFR
3542127,0.37173932790756226,84,BigLeduc,DeepCFR
3581279,0.37173932790756226,85,BigLeduc,DeepCFR
3609365,0.37173932790756226,86,BigLeduc,DeepCFR
3647551,0.37173932790756226,87,BigLeduc,DeepCFR
3682566,0.37173932790756226,88,BigLeduc,DeepCFR
3724662,0.37173932790756226,89,BigLeduc,DeepCFR
3771200,0.30312271416187286,90,BigLeduc,DeepCFR
3814926,0.30312271416187286,91,BigLeduc,DeepCFR
3859535,0.30312271416187286,92,BigLeduc,DeepCFR
3898186,0.30312271416187286,93,BigLeduc,DeepCFR
3929105,0.30312271416187286,94,BigLeduc,DeepCFR
3970404,0.30312271416187286,95,BigLeduc,DeepCFR
4012407,0.30312271416187286,96,BigLeduc,DeepCFR
4073979,0.30312271416187286,97,BigLeduc,DeepCFR
4122447,0.30312271416187286,98,BigLeduc,DeepCFR
4173668,0.30312271416187286,99,BigLeduc,DeepCFR
4245204,0.30312271416187286,100,BigLeduc,DeepCFR
4297880,0.30312271416187286,101,BigLeduc,DeepCFR
4343689,0.30312271416187286,102,BigLeduc,DeepCFR
4395236,0.30312271416187286,103,BigLeduc,DeepCFR
4451695,0.30312271416187286,104,BigLeduc,DeepCFR
4510255,0.4455862194299698,105,BigLeduc,DeepCFR
4544529,0.4455862194299698,106,BigLeduc,DeepCFR
4591115,0.4455862194299698,107,BigLeduc,DeepCFR
4634165,0.4455862194299698,108,BigLeduc,DeepCFR
4672643,0.4455862194299698,109,BigLeduc,DeepCFR
4716394,0.4455862194299698,110,BigLeduc,DeepCFR
4750653,0.4455862194299698,111,BigLeduc,DeepCFR
4781488,0.4455862194299698,112,BigLeduc,DeepCFR
4827701,0.4455862194299698,113,BigLeduc,DeepCFR
4871321,0.4455862194299698,114,BigLeduc,DeepCFR
4904085,0.4455862194299698,115,BigLeduc,DeepCFR
4934019,0.4455862194299698,116,BigLeduc,DeepCFR
4973193,0.4455862194299698,117,BigLeduc,DeepCFR
5015922,0.4455862194299698,118,BigLeduc,DeepCFR
5048493,0.4455862194299698,119,BigLeduc,DeepCFR
5084281,0.34532853960990906,120,BigLeduc,DeepCFR
5126333,0.34532853960990906,121,BigLeduc,DeepCFR
